NOMBRE ESTACION,Moravia,Universidad,Ruta N,Robledo,Campus Nacional,Dian Alpujarra,Distrito Creativo,Plaza de La Libertad,Parque de Las Luces II,Pies Descalzos I,Area Metropolitana,Plaza Mayor,Parque de Las Luces I,Pies Descalzos II,Málaga,Palacé,Museo de Antioquia,San Antonio,Parque Berrio,Palacio de la Cultura,SIU-UdeA,Primer Parque de Laureles,Otra Banda,Parque San Joaquín,Florida Nueva,Cacique Candela,María Mulata,Circular Primera,Batallón,Calle 51 Los Colores,Segundo Parque de Laureles,San Joaquín,Orquídeas,Santa Teresita,La 65,San Pedro y San Pablo,Parque de Los Mangos,Pedro Nel Gómez,Estadio,Suramericana,Colombia,San Juan,UPB,Los Colores,Floresta,Parque de los Enamorados,Salazar y Herrera,Unicentro,Calle 19A Villa Carlota,Politécnico,Telemedellín,Industriales Metro,MAMM,Río Aburrá,Villa Carlota,Ciudad del Río,Industriales Metroplús,Nutibara,Juan Pablo II,Picacha la 76,Parques del río,La 33,Rosales,Maria Luisa Calle,Unidad Deportiva de Belén,Bulerias,Cafetero,Metro Envigado Sur,Metro Envigado Norte,Auxiliar Metro Envigado,La Ultima Estación,Pista de Patinaje,Villas de Vallejuelos,Iglesia Alcalá,Los Urapanes,Parque Débora Arango,Porton de Alcalá,El MUA,Viva Envigado,Guanteros,Envigado Centro,Puente fundadores,Sabaneta Metro,Las Vegas 69 Sur,Santa Ana,Calle Nueva,La Barquereña,Entre amigos,Sabaneta Centro,Aves María,Biblioteca Sabaneta,Parque 4 Elementos,Puente de la 77 Sur,Metro Itaguí I,Metro Itaguí II,Bahía Ciclovia,Ideas,Parque Itaguí,Metróplus Cami,Doña María,Los Naranjos,Villa Paula,Parque el Artista,Puente pan de Queso I,Puente pan de Queso II,Metro Bello,Parque Bello,Paraná,San Cayetano
Moravia,0.0,958.8,1356.9,3328.1,3224.7,3955.2,5175.6,4314.2,3682.6,4348.7,4156.3,4251.4,3624.8,4348.7,3564.2,4780.3,2898.2,3454.9,3126.9,3029.8,1946.7,5867.8,3549.4,5135.1,4919.2,6298.2,5594.8,6048.4,4922.0,4585.1,6263.2,5162.9,4591.6,6424.8,4431.1,5259.6,4831.2,6183.2,4664.0,4046.9,3548.7,5057.8,5519.9,3973.7,5305.9,4050.2,4094.9,5617.2,6791.6,7770.0,6972.8,5480.3,6179.0,5682.6,6572.8,6554.6,5726.4,6022.3,7869.5,7030.5,4649.2,5736.8,6761.4,8537.5,6450.0,5957.4,5819.9,12834.0,12650.0,12900.5,12648.2,12853.1,13103.6,12805.9,12348.9,12575.2,12926.1,12768.8,11800.6,12923.0,12791.3,12397.9,15619.0,15799.4,15678.0,16558.4,15939.3,16360.1,16303.4,16644.4,16292.4,15780.2,16606.4,14168.9,14168.9,13706.1,13481.8,13171.0,13186.1,12796.6,13241.0,12821.0,12089.3,12696.8,12740.4,7061.0,7036.5,15997.5,16440.0
Universidad,0.0,0.0,496.0,3544.3,2409.7,3100.3,4320.7,3506.7,2827.7,3541.3,3301.5,3443.9,2770.0,3541.3,2709.4,3925.5,2043.4,2600.0,2272.1,2174.9,1091.9,5147.0,2742.0,4389.8,4214.9,5577.4,4890.5,5239.8,4618.2,4656.6,5542.4,4347.9,3985.8,5704.0,3726.7,4707.6,4016.2,5462.4,3959.7,3342.6,2885.3,4313.5,4782.3,3312.1,5029.4,3387.9,3433.3,4802.2,5936.7,6915.1,6117.9,4625.4,5324.1,4827.8,5718.0,5699.8,4871.5,5214.8,7054.5,6215.5,3841.7,4929.3,5946.4,7722.5,5642.5,5142.4,5012.5,11979.2,11795.1,12045.7,11793.3,11998.3,12248.8,11951.1,11494.0,11720.3,12071.3,11914.0,10945.7,12068.1,11936.4,11543.1,14811.5,14944.6,14823.1,15703.6,15084.4,15505.3,15448.5,15789.5,15437.6,14925.3,15798.9,13361.4,13361.4,12898.6,12674.3,12363.5,12378.6,11989.1,12433.5,12013.5,11281.8,11889.4,11885.6,7895.0,7870.5,15190.0,15632.6
Ruta N,0.0,0.0,0.0,3561.6,1995.1,2604.4,3824.8,3072.7,2331.8,3107.2,2805.5,3009.8,2274.0,3107.2,2213.4,3429.5,1547.4,2104.1,1776.1,1679.0,595.9,4725.4,2307.9,3968.3,3780.8,5155.9,4456.4,4818.3,4203.6,4242.0,5120.8,3926.4,3571.2,5282.4,3292.6,4293.0,3594.6,5040.9,3525.6,2908.5,2470.7,3891.9,4360.7,2897.5,4614.8,2973.3,3018.7,4380.7,5440.8,6419.2,5622.0,4129.5,4828.2,4331.8,5222.0,5203.8,4375.6,4780.8,6632.9,5793.9,3407.6,4495.2,5524.9,7301.0,5208.5,4720.9,4578.4,11483.2,11299.2,11549.7,11297.3,11502.3,11752.8,11455.1,10998.1,11224.4,11575.3,11418.0,10449.8,11572.2,11440.5,11047.1,14377.4,14448.6,14327.2,15207.6,14588.5,15009.3,14952.6,15293.6,14941.6,14429.4,15328.3,12927.3,12927.3,12464.6,12240.3,11929.5,11944.5,11555.0,11999.5,11579.4,10847.8,11430.7,11389.6,8341.3,8316.9,14756.0,15198.5
Robledo,0.0,0.0,0.0,0.0,2634.5,4574.9,5636.3,4420.4,4317.4,4320.4,4585.7,4357.6,4261.2,4320.4,4352.7,5240.6,4059.6,4273.8,4056.1,4142.5,3881.5,3600.0,2644.4,3696.5,2866.3,3914.8,2995.4,4092.8,1602.6,1265.6,3752.4,4000.0,1606.9,4046.7,3269.4,1940.2,3716.1,3425.6,2669.6,2885.2,2407.7,3119.3,3570.9,1809.5,1986.4,2298.2,1759.3,4525.1,7294.5,8119.9,7322.7,5830.2,6528.9,6032.6,6922.8,6904.5,5722.2,5237.0,6535.9,5233.9,3972.3,4761.7,5427.9,7204.0,5334.5,4613.9,4724.2,12699.3,12599.3,12765.8,12998.1,13203.1,13453.5,13155.8,12698.8,12925.1,13276.1,13118.8,12150.5,13272.9,13141.2,12747.8,15378.4,15735.3,15810.8,16641.2,16107.7,16333.0,16436.1,16777.1,16375.2,15913.0,16365.8,13928.3,13928.3,13465.6,13241.2,12930.4,12945.5,12556.0,13000.4,12580.4,11848.7,12456.3,12559.9,9292.1,9267.6,15757.0,16199.5
Campus Nacional,0.0,0.0,0.0,0.0,0.0,2724.4,3785.9,2570.0,2467.0,2473.8,2735.2,2507.1,2410.8,2473.8,2502.3,3390.2,2209.1,2423.4,2205.7,2292.1,2294.7,2881.7,744.5,2149.0,1933.1,3312.1,2608.7,3062.3,2309.3,2347.7,3277.1,2178.1,1676.8,3438.7,1445.0,2398.7,1891.7,3197.1,1677.9,1060.8,569.3,2071.7,2533.8,1003.2,2720.4,1074.2,1124.3,2725.9,5444.1,6269.5,5472.3,3979.8,4678.5,4182.1,5072.3,5054.1,3871.8,3412.5,4912.5,4066.2,2125.7,2937.3,3804.4,5580.5,3551.9,3000.4,2941.5,10874.9,10774.9,10941.4,11147.7,11352.7,11603.1,11305.4,10848.4,11074.7,11425.6,11268.4,10300.1,11422.5,11290.8,10897.4,13554.0,13910.8,13986.3,14816.8,14283.2,14508.6,14611.7,14952.7,14550.7,14088.5,14541.4,12103.9,12103.9,11641.1,11416.8,11106.0,11121.1,10731.6,11176.0,10756.0,10024.3,10631.8,10735.4,9269.3,9244.9,13932.5,14375.0
Dian Alpujarra,0.0,0.0,0.0,0.0,0.0,0.0,1310.5,549.0,416.8,1139.3,267.9,509.0,411.9,1139.3,697.3,915.3,1068.4,682.0,992.2,1089.1,2216.5,3020.3,2122.8,2257.4,2744.1,3262.3,2918.5,2948.7,4049.5,4094.5,3390.1,2172.8,3709.3,3313.7,1629.3,3574.7,1848.3,3335.7,2618.3,2087.0,2349.5,2183.4,2612.7,2944.5,3873.5,2787.9,3156.9,2038.7,2945.7,3903.5,3106.2,1613.8,2312.4,1816.1,2706.3,2688.1,1859.8,2393.3,4322.0,3595.6,1228.6,1974.3,3283.4,4994.6,2777.1,2479.4,2057.4,8967.5,8783.4,9034.0,8781.6,8986.6,9237.1,8939.4,8482.3,8708.7,9059.6,8902.3,7934.1,9056.5,8924.8,8531.4,11898.2,11932.9,11811.5,12691.9,12072.7,12493.6,12436.8,12777.9,12425.9,11913.7,12812.6,10448.1,10448.1,9985.4,9761.1,9450.3,9465.3,9075.8,9520.3,9100.3,8368.6,8915.0,8873.9,10928.4,10903.9,12276.8,12719.3
Distrito Creativo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352.8,1611.5,1956.5,1256.4,1269.0,1606.6,1956.5,1768.2,417.4,2261.8,1744.1,2050.2,2145.5,3401.2,3389.5,3174.3,2762.6,3640.8,3383.2,3815.2,3069.7,5042.0,5100.5,3511.0,2429.1,4715.3,3434.7,2526.0,4471.4,2333.3,3574.5,3515.0,2983.7,3358.1,3066.2,2845.2,3950.5,4770.2,3684.6,4162.8,2159.7,1864.4,3061.1,2169.2,736.7,1470.1,950.1,1863.9,1830.9,1017.5,1590.9,3566.3,3484.4,1736.1,2095.2,2548.9,4239.0,2152.7,2600.4,2178.4,8125.1,7941.1,8191.6,7939.3,8144.3,8394.7,8097.0,7640.0,7866.3,8217.2,8060.0,7091.7,8214.1,8082.4,7689.0,11055.9,11090.5,10969.1,11849.5,11230.4,11651.2,11594.5,11935.5,11583.5,11071.3,11970.2,9605.8,9605.8,9143.0,8918.7,8607.9,8623.0,8233.5,8677.9,8257.9,7526.2,8072.6,8031.6,12108.6,12084.1,11434.4,11876.9
Plaza de La Libertad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.7,916.1,194.4,389.0,612.4,916.1,934.3,1097.7,1305.4,919.0,1229.2,1326.1,2453.5,2886.3,2028.8,2123.2,2623.8,3149.8,2798.2,2836.2,3955.6,4000.6,3277.6,2052.8,3615.4,3201.2,1509.0,3454.4,1728.4,3201.7,2498.0,1966.7,2255.6,2049.2,2492.7,2850.6,3753.2,2667.6,3062.9,1926.3,3129.1,4069.1,3271.9,1779.4,2478.1,1981.7,2871.9,2853.7,2025.5,2335.5,4209.5,3483.1,1108.6,1861.8,3170.9,4882.1,2664.6,2366.9,1944.9,9133.1,8949.1,9199.6,8947.3,9152.3,9402.7,9105.0,8648.0,8874.3,9225.2,9068.0,8099.7,9222.1,9090.4,8697.0,12063.9,12098.5,11977.1,12857.6,12238.4,12659.2,12602.5,12943.5,12591.5,12079.3,12978.2,10613.8,10613.8,10151.0,9926.7,9615.9,9631.0,9241.5,9685.9,9265.9,8534.2,9080.6,9039.6,11021.4,10996.9,12442.4,12884.9
Parque de Las Luces II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.1,635.6,848.7,57.7,1004.1,448.7,1259.7,817.1,433.4,743.6,840.5,1965.2,2805.3,1796.1,2042.5,2529.2,3235.8,2703.6,2917.6,3722.9,3767.9,3200.8,2025.7,3382.7,3362.4,1414.4,3359.8,1693.9,3120.8,2403.4,1872.1,2022.9,1968.5,2434.9,2617.9,3658.6,2468.1,2830.2,2364.1,3270.9,4249.3,3452.1,1959.6,2658.3,2161.9,3052.1,3033.9,2205.7,2656.0,4628.5,3893.2,1297.0,2321.4,3611.1,5301.2,3083.7,2820.2,2404.6,9313.3,9129.3,9379.8,9127.5,9332.5,9582.9,9285.2,8828.2,9054.5,9405.4,9248.2,8279.9,9402.3,9270.6,8877.2,12244.1,12278.7,12157.3,13037.7,12418.6,12839.4,12782.7,13123.7,12771.7,12259.5,13158.4,10794.0,10794.0,10331.2,10106.9,9796.1,9811.2,9421.7,9866.1,9446.1,8714.4,9260.8,9219.8,10677.1,10652.6,12622.6,13065.1
Pies Descalzos I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794.5,540.5,797.1,,1178.2,1451.5,1538.5,1162.9,1473.0,1570.0,2623.6,2555.7,1940.0,1792.7,2293.3,2986.2,2467.7,2667.8,3694.5,3753.0,2951.2,1775.9,3367.8,3112.8,1178.5,3123.9,1444.1,2871.2,2167.5,1636.2,2010.7,1718.7,2185.1,2603.0,3422.7,2337.1,2815.3,1940.8,3505.4,4330.8,3533.5,2041.1,2739.7,2243.4,3133.6,3115.4,2060.7,2339.3,4311.9,3597.5,873.7,2016.8,3285.3,4984.5,2767.0,2481.3,2098.9,9256.9,9103.0,9323.5,9208.9,9413.9,9664.4,9366.7,8909.7,9136.0,9486.9,9329.6,8361.4,9483.8,9352.1,8958.7,11936.0,12292.9,12238.8,13119.2,12500.0,12890.6,12864.2,13205.2,12853.2,12341.0,12923.4,10485.9,10485.9,10023.2,9798.8,9488.0,9503.1,9113.6,9558.1,9138.0,8406.3,9013.9,9117.5,10932.5,10908.0,12314.6,12757.1
Area Metropolitana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,613.1,941.5,898.5,908.2,1269.6,883.2,1193.4,1290.3,2417.7,2849.6,2131.6,2007.9,2738.3,3012.9,2912.7,2699.4,4058.4,4103.4,3140.7,1917.8,3718.2,3064.4,1623.5,3568.9,1593.4,3177.3,2612.5,2081.2,2358.4,2163.7,2357.7,2953.4,3867.7,2782.1,3165.7,1789.4,2938.6,3896.4,3099.1,1606.7,2305.3,1809.0,2699.2,2681.0,1852.7,2198.6,4072.6,3346.2,973.6,1724.9,3034.1,4745.3,2527.8,2230.1,1808.1,8960.4,8776.3,9026.9,8774.5,8979.5,9230.0,8932.3,8475.2,8701.6,9052.5,8895.2,7927.0,9049.4,8917.7,8524.3,11891.2,11925.8,11804.4,12684.8,12065.6,12486.5,12429.8,12770.8,12418.8,11906.6,12805.5,10441.0,10441.0,9978.3,9754.0,9443.2,9458.2,9068.8,9513.2,9093.2,8361.5,8907.9,8866.8,11124.2,11099.7,12269.7,12712.2
Plaza Mayor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.3,687.5,1152.5,925.2,1523.6,1137.2,1447.4,1544.3,2671.7,2614.8,2049.4,1773.0,2484.3,2798.7,2658.7,2485.1,3885.6,3944.0,2926.5,1682.9,3558.8,2850.1,1369.5,3314.9,1358.5,2942.5,2358.5,1827.2,2201.7,1909.7,2122.8,2794.0,3613.7,2528.1,3006.4,1569.3,2979.1,3804.5,3007.3,1514.8,2213.5,1717.2,2607.3,2589.1,1760.9,1984.4,3858.4,3132.0,738.7,1510.7,2819.8,4531.0,2313.5,2015.8,1593.8,8868.5,8684.5,8935.0,8682.7,8887.7,9138.1,8840.4,8383.4,8609.7,8960.6,8803.4,7835.1,8957.5,8825.8,8432.4,11799.3,11833.9,11712.5,12593.0,11973.8,12394.7,12337.9,12678.9,12326.9,11814.7,12713.6,10349.2,10349.2,9886.4,9662.1,9351.3,9366.4,8976.9,9421.3,9001.3,8269.6,8816.0,8775.0,11042.0,11017.5,12177.8,12620.4
Parque de Las Luces I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061.8,391.0,1254.8,759.3,375.7,685.9,782.8,1907.5,2863.0,1740.0,2100.1,2586.9,3293.5,2761.3,2975.3,3666.8,3711.8,3258.4,2083.4,3326.6,3420.1,1472.1,3417.5,1751.6,3178.5,2461.0,1929.8,1966.8,2026.1,2492.6,2561.8,3716.3,2411.9,2774.1,2401.6,3266.0,4244.4,3447.2,1954.7,2653.4,2157.1,3047.3,3029.1,2200.8,2713.7,4684.8,3950.9,1354.7,2337.1,3646.3,5357.5,3140.0,2842.3,2420.3,9308.4,9124.4,9375.0,9122.6,9327.6,9578.1,9280.4,8823.3,9049.6,9400.6,9243.3,8275.0,9397.4,9265.7,8872.4,12239.2,12273.9,12152.4,13032.9,12413.7,12834.6,12777.8,13118.8,12766.9,12254.6,13153.5,10789.1,10789.1,10326.3,10102.0,9791.2,9806.3,9416.8,9861.2,9441.2,8709.5,9255.9,9214.9,10619.3,10594.8,12617.7,13060.3
Pies Descalzos II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.2,1451.5,1538.5,1162.9,1473.0,1570.0,2623.6,2555.7,1940.0,1792.7,2293.3,2986.2,2467.7,2667.8,3694.5,3753.0,2951.2,1775.9,3367.8,3112.8,1178.5,3123.9,1444.1,2871.2,2167.5,1636.2,2010.7,1718.7,2185.1,2603.0,3422.7,2337.1,2815.3,1940.8,3505.4,4330.8,3533.5,2041.1,2739.7,2243.4,3133.6,3115.4,2060.7,2339.3,4311.9,3597.5,873.7,2016.8,3285.3,4984.5,2767.0,2481.3,2098.9,9256.9,9103.0,9323.5,9208.9,9413.9,9664.4,9366.7,8909.7,9136.0,9486.9,9329.6,8361.4,9483.8,9352.1,8958.7,11936.0,12292.9,12238.8,13119.2,12500.0,12890.6,12864.2,13205.2,12853.2,12341.0,12923.4,10485.9,10485.9,10023.2,9798.8,9488.0,9503.1,9113.6,9558.1,9138.0,8406.3,9013.9,9117.5,10932.5,10908.0,12314.6,12757.1
Málaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1404.2,691.3,152.1,462.3,559.2,1863.9,3252.0,1771.4,2489.1,2975.9,3682.5,3150.2,3364.2,3698.2,3743.1,3647.4,2472.4,3357.9,3809.0,1861.1,3785.6,2140.6,3567.5,2850.0,2318.8,1998.1,2415.1,2881.6,2593.2,4096.5,2443.3,2805.5,2668.4,3396.3,4403.9,3606.7,2114.2,2812.9,2316.6,3206.7,3188.5,2360.3,2893.7,4869.2,4225.2,1737.8,2603.9,3851.8,5541.9,3406.8,3109.1,2687.1,9467.9,9283.9,9534.4,9282.1,9487.1,9737.5,9439.8,8982.8,9209.1,9560.0,9402.8,8434.5,9556.9,9425.2,9031.8,12398.7,12433.3,12311.9,13192.4,12573.2,12994.1,12937.3,13278.3,12926.3,12414.1,13313.0,10948.6,10948.6,10485.8,10261.5,9950.7,9965.8,9576.3,10020.7,9600.7,8869.0,9415.4,9374.4,10575.7,10551.2,12777.2,13219.7
